model_year,origin,fuel_type,drivetrain,num_doors,engine_displacement,num_cylinders,horsepower,vehicle_weight,acceleration,fuel_efficiency_mpg
2006,Europe,Gasoline,Front-wheel drive,4,2180,6,243,3870,,31.9
2008,Europe,Diesel,Front-wheel drive,4,2390,6,272,4210,,31.3
1996,Asia,Gasoline,Front-wheel drive,5,2320,6,267,4240,17.3,27.5
1989,Europe,Gasoline,Front-wheel drive,4,2130,6,258,4490,18.7,28.5
1994,USA,Diesel,Front-wheel drive,3,2580,7,304,4510,17.5,31.0
2007,USA,Hybrid,Front-wheel drive,2,2290,6,266,4260,18.8,31.2
1992,Asia,Gasoline,Front-wheel drive,2,2270,6,250,4310,21.7,26.8
2005,USA,Gasoline,Front-wheel drive,4,2370,6,279,4090,17.4,30.2
1997,Asia,Gasoline,Rear-wheel drive,3,2330,6,251,4230,19.5,30.9
2004,USA,Diesel,All-wheel drive,5,2330,6,280,4620,17.7,31.2
1978,Asia,Gasoline,All-wheel drive,3,2410,6,,4420,19.5,26.8
1996,Europe,Diesel,Front-wheel drive,4,2240,6,250,3980,16.7,31.4
1983,USA,Diesel,Front-wheel drive,3,2370,7,,4390,20.7,30.4
2024,USA,Gasoline,Rear-wheel drive,4,2440,6,277,4790,20.2,30.2
2015,USA,Gasoline,Front-wheel drive,5,1900,6,202,4070,18.7,32.8
2007,Asia,Diesel,Front-wheel drive,4,2170,5,226,3950,18.0,35.4
2021,Asia,Gasoline,All-wheel drive,5,2280,6,234,4750,20.1,29.7
2021,USA,Gasoline,Rear-wheel drive,5,2540,7,299,4690,17.9,30.2
1995,USA,Gasoline,Front-wheel drive,2,2490,6,264,4230,17.7,28.5
2006,USA,Gasoline,All-wheel drive,4,2320,6,251,4410,15.8,31.4
2020,USA,Gasoline,Rear-wheel drive,4,2300,6,260,4600,19.6,30.1
2016,USA,Gasoline,Front-wheel drive,2,2410,7,291,4510,19.4,28.0
2019,Asia,Gasoline,Front-wheel drive,5,2350,6,246,4450,18.7,32.7
1994,Asia,Gasoline,Rear-wheel drive,4,2610,8,302,4440,17.1,26.6
2021,Europe,Gasoline,Front-wheel drive,3,2160,6,258,4180,20.4,31.5
2012,Asia,Diesel,Rear-wheel drive,2,2240,6,249,4210,18.0,33.8
1990,Europe,Gasoline,Front-wheel drive,3,2330,7,254,4040,18.8,28.6
2021,Europe,Gasoline,Rear-wheel drive,3,2440,6,265,4500,20.6,31.0
2006,USA,Gasoline,Front-wheel drive,2,2260,6,249,4130,18.6,30.7
2020,Europe,Hybrid,Front-wheel drive,2,2010,6,216,3820,18.2,36.9
2021,USA,Diesel,Rear-wheel drive,3,2460,7,294,4630,18.6,30.7
1993,Asia,Gasoline,Front-wheel drive,5,2290,6,240,4230,18.7,28.0
1978,USA,Gasoline,Rear-wheel drive,3,2080,6,,4350,16.8,24.1
2017,USA,Diesel,Front-wheel drive,4,2070,5,255,4200,20.2,35.4
1976,Asia,Gasoline,Rear-wheel drive,3,2620,7,273,4910,20.5,25.3
1977,Asia,Gasoline,Rear-wheel drive,5,2560,7,277,4570,21.3,26.8
2005,USA,Gasoline,Front-wheel drive,5,2390,7,264,4540,21.1,29.5
1983,Europe,Gasoline,Rear-wheel drive,2,2420,6,254,4360,19.5,28.2
1994,Asia,Hybrid,Rear-wheel drive,3,2330,6,258,4540,19.0,30.2
1994,Asia,Gasoline,Front-wheel drive,3,2390,6,,4300,18.2,33.5
2002,USA,Gasoline,Rear-wheel drive,2,2330,6,270,4580,18.1,27.6
1994,USA,Gasoline,Front-wheel drive,5,2200,6,262,4520,17.9,27.5
2007,USA,Gasoline,Rear-wheel drive,3,2530,6,296,4440,18.8,26.4
2023,Asia,Diesel,Rear-wheel drive,2,2290,6,239,4250,19.5,35.2
1975,Asia,Gasoline,Front-wheel drive,2,2370,6,248,4310,18.3,28.4
2015,Asia,Gasoline,Rear-wheel drive,3,2530,6,282,4430,17.1,29.2
1983,Europe,Gasoline,Rear-wheel drive,4,2130,6,,4360,20.9,29.7
1977,USA,Gasoline,Front-wheel drive,4,2360,6,,4190,20.1,23.8
2020,Europe,Diesel,Front-wheel drive,2,2270,7,238,4060,17.5,37.1
1982,USA,Gasoline,Rear-wheel drive,3,2340,6,,4490,18.8,24.4
2021,Europe,Gasoline,Rear-wheel drive,4,2260,6,239,4190,16.7,33.2
2006,Europe,Hybrid,Rear-wheel drive,5,2150,6,231,4150,19.4,36.6
1996,Asia,Diesel,Rear-wheel drive,3,2500,7,289,4640,20.7,30.9
1979,USA,Gasoline,Rear-wheel drive,2,2330,6,264,4400,20.4,24.5
2003,Asia,Gasoline,Front-wheel drive,4,2400,6,232,4320,20.6,29.6
2004,USA,Hybrid,All-wheel drive,3,2740,7,321,5010,20.6,29.7
2014,USA,Gasoline,Rear-wheel drive,2,2140,6,235,3990,19.1,26.8
1985,USA,Gasoline,Front-wheel drive,4,2240,6,257,4280,18.3,30.1
1990,USA,Hybrid,Front-wheel drive,5,2190,6,284,4170,19.5,33.6
1984,Europe,Diesel,Front-wheel drive,4,1980,6,233,4190,19.3,31.3
1986,Asia,Diesel,Front-wheel drive,3,2180,5,235,3840,16.1,27.1
1978,Asia,Hybrid,Front-wheel drive,3,1960,6,198,3770,19.4,35.8
1995,Asia,Diesel,Front-wheel drive,4,2080,6,250,3950,19.8,31.0
1999,Asia,Gasoline,Rear-wheel drive,4,2100,6,221,4370,18.2,29.7
1997,Europe,Diesel,Front-wheel drive,3,2070,6,234,3790,19.4,36.7
2018,Asia,Gasoline,Front-wheel drive,2,2180,6,254,3970,18.3,35.6
1978,USA,Gasoline,Front-wheel drive,4,2560,6,290,4330,19.2,23.5
1998,Asia,Gasoline,Front-wheel drive,3,1890,5,219,3940,17.8,31.6
1988,Asia,Gasoline,Front-wheel drive,2,2420,6,263,4220,19.3,27.3
2001,USA,Gasoline,Front-wheel drive,4,2270,6,256,4000,17.2,33.0
1997,Asia,Diesel,Front-wheel drive,5,2310,6,267,4100,20.0,33.9
2015,USA,Gasoline,Rear-wheel drive,4,2160,6,254,4350,18.1,28.9
2019,Asia,Gasoline,Front-wheel drive,2,2150,6,264,3860,19.7,31.7
1981,Asia,Gasoline,Front-wheel drive,2,1910,5,210,3580,18.9,33.1
1978,Europe,Gasoline,Front-wheel drive,3,2240,6,252,4190,21.2,30.4
1990,USA,Gasoline,Front-wheel drive,4,2100,6,,4020,19.7,28.7
1984,USA,Gasoline,All-wheel drive,4,2300,6,261,4590,19.4,24.3
2008,Asia,Gasoline,Front-wheel drive,3,2280,6,,4200,17.1,31.5
2016,Asia,Diesel,All-wheel drive,3,2110,6,249,4240,16.1,33.0
1995,USA,Gasoline,Rear-wheel drive,4,2350,7,296,4540,19.2,23.2
1998,Asia,Diesel,Front-wheel drive,4,2310,6,270,4270,18.5,29.7
2024,Europe,Hybrid,Rear-wheel drive,4,2450,6,268,4420,,34.3
2000,USA,Diesel,Rear-wheel drive,4,2650,7,283,4980,20.9,24.4
2019,Asia,Gasoline,All-wheel drive,3,2220,6,237,4370,17.7,30.8
1999,Asia,Gasoline,Front-wheel drive,3,2020,6,226,3810,17.2,31.3
1992,Europe,Diesel,All-wheel drive,4,2610,7,298,4760,18.9,26.5
2001,Europe,Gasoline,All-wheel drive,4,2550,6,258,4610,18.6,28.7
1979,Asia,Diesel,Rear-wheel drive,4,2330,6,278,4290,19.5,31.4
1998,Europe,Gasoline,Rear-wheel drive,4,2430,7,272,4470,17.9,26.9
1981,Europe,Diesel,Rear-wheel drive,3,2500,6,,4360,17.6,28.8
2015,USA,Gasoline,Rear-wheel drive,4,2100,5,216,4200,18.5,30.6
1984,Asia,Gasoline,Rear-wheel drive,4,2470,7,,4600,21.5,26.2
1988,USA,Gasoline,Front-wheel drive,3,2290,6,237,4080,17.2,30.8
1999,USA,Gasoline,Front-wheel drive,3,2170,6,249,4190,19.1,29.5
2013,USA,Hybrid,Front-wheel drive,4,2250,6,246,4140,19.9,35.7
1997,Asia,Gasoline,Front-wheel drive,3,2450,6,280,4540,18.7,28.6
1982,Europe,Gasoline,All-wheel drive,2,2370,6,237,4560,19.8,28.8
2003,USA,Gasoline,All-wheel drive,3,2140,5,229,4190,17.0,26.5
2018,Asia,Gasoline,Front-wheel drive,3,2290,6,250,4140,19.4,31.1
1976,Europe,Gasoline,Front-wheel drive,3,2290,6,,4230,18.4,26.6
2020,Asia,Gasoline,Front-wheel drive,3,1960,6,241,3850,18.2,34.3
2010,USA,Gasoline,Front-wheel drive,3,2450,7,280,4460,18.5,29.3
1993,Europe,Gasoline,Rear-wheel drive,4,2290,6,251,4220,18.9,29.8
2011,USA,Gasoline,Rear-wheel drive,5,2090,6,244,4380,18.2,29.6
2023,USA,Hybrid,Rear-wheel drive,4,2010,6,232,4070,20.4,34.6
1978,Europe,Gasoline,Rear-wheel drive,2,2190,6,245,4180,17.6,27.3
1983,Europe,Gasoline,Rear-wheel drive,2,2430,7,261,4080,17.2,26.6
2023,Europe,Gasoline,Front-wheel drive,4,2200,6,228,4060,18.1,31.5
1989,USA,Diesel,Front-wheel drive,3,2070,6,255,4200,19.5,30.7
2014,USA,Gasoline,Rear-wheel drive,2,2310,6,269,4220,17.5,30.7
1987,USA,Gasoline,Front-wheel drive,2,2380,6,266,4140,19.0,28.8
1976,USA,Gasoline,Front-wheel drive,3,2230,6,,4280,19.9,25.0
1979,USA,Gasoline,Front-wheel drive,3,2320,6,,4180,18.3,26.3
1997,Asia,Gasoline,Front-wheel drive,2,1820,5,219,3620,18.9,30.5
2009,USA,Gasoline,Front-wheel drive,4,2290,6,250,4320,17.6,28.8
1998,Asia,Gasoline,Rear-wheel drive,3,2180,6,237,4260,17.2,26.1
1987,USA,Gasoline,Front-wheel drive,2,2260,6,247,4310,20.5,29.4
1984,USA,Hybrid,Front-wheel drive,5,2510,6,,4160,17.2,31.1
2018,USA,Gasoline,Front-wheel drive,4,2330,7,261,4290,17.9,30.2
