round;sample;ID_plate;centroid_1;centroid_2;growth_rate;peaks;circularity;eccentricity;RGB_mean_1;RGBt_mean_2;RGBt_mean_3;RGBt_std_1;RGBt_std_2;RGBt_std_3;Lab_mean_1;Lab_mean_2;Lab_mean_3;Lab_std_1;Lab_std_2;Lab_std_3;Labt_mean_1;Labt_mean_2;Labt_mean_3;Labt_std_1;Labt_std_2;Labt_std_3;activity_total
1;10µl-nr1;1-1;835;1242;0,1338005;23;0,96578;0,18561;246,7854;225,925;217,3063;22,9483;31,6416;36,2281;89,0539;8,08953;10,7003;11,1602;6,90168;8,14749;91,3267;6,5164;7,15765;10,7217;4,70734;7,27739;1
1;10µl-nr1;1-2;1484;1109;0,063329023;13;1,0207;0,22453;203,4753;160,3111;135,6222;16,0928;10,0833;7,72625;69,1886;13,231;17,4054;5,09732;3,40151;4,86611;69,7232;14,1296;19,6061;4,13404;3,4022;3,81545;0
1;10µl-nr2;2-2;493;580;0,04584244;15;1,0581;0,28171;207,9126;160,9032;148,3548;28,7998;15,8332;13,2729;69,2019;17,0137;13,7221;7,38965;5,17052;3,67209;71,3072;19,8785;15,035;7,10437;5,2638;3,69122;0
1;10µl-nr2;2-4;1052;1305;0,656070866;9;1,0217;0,44729;186,424;148,5897;133,641;7,89643;5,8387;5,50831;64,0392;13,139;12,7667;3,66983;2,71661;3,49231;65,0318;13,5466;13,9261;2,10122;2,40051;3,14126;0
1;10µl-nr2;2-5;1146;808;0,053184523;22;0,98664;0,25451;234,9079;169,5041;151,9421;21,5408;17,2004;16,3168;75,2906;21,9786;17,6378;10,3683;7,04636;6,18122;76,051;25,1306;20,0857;6,40666;4,69942;3,93355;0
1;10µl-nr2;2-6;1568;1437;0,954474489;22;0,96085;0,30636;203,9463;88,48611;35,52778;15,6091;13,9419;15,0216;53,8861;38,9035;48,1473;3,04332;11,6648;9,55157;52,6406;44,0382;51,1682;3,13553;9,64454;7,49311;0
1;10µl-nr3;3-2;494;960;0,032418714;19;1,0038;0,36109;188,4909;142,7059;114,4588;51,4195;55,25;52,4017;57,3747;23,0519;26,7269;19,179;6,83001;3,6123;64,6848;21,7938;25,5434;19,9838;7,24974;4,6034;0
1;10µl-nr3;3-3;825;1146;0,078261153;9;1,0907;0,36746;165,3496;123,0588;109,2353;16,075;11,3824;11,3056;53,7619;17,1568;14,8442;4,80529;2,07757;1,54936;56,2489;17,6578;15,3302;4,87254;2,24283;1,20188;0
1;10µl-nr3;3-4;945;1099;0,024164548;18;0,91768;0,29439;227,9028;159,4159;114,9469;34,3185;24,2306;18,3755;71,3886;20,189;33,8248;6,0675;3,16662;8,17246;71,1936;20,5994;33,1912;10,3343;3,04348;8,27079;0
1;10µl-nr3;3-5;967;1279;0,107720166;20;0,95088;0,18635;250,2501;228,6351;205,7095;17,0316;23,1017;25,8962;90,8158;5,73377;14,1801;9,03895;5,41297;6,69073;92,1286;4,75893;14,2475;7,80133;4,35203;6,11608;1
1;10µl-nr3;3-6;1209;313;0,596638932;16;0,89248;0,42431;175,2046;116,2317;106,3293;46,3108;38,6383;35,2165;57,9568;16,2866;12,8279;14,2063;5,11826;4,5637;52,9048;16,7963;12,6687;15,4708;3,90454;3,4158;1
1;10µl-nr3;3-7;1187;1408;0,543152756;11;0,96964;0,46197;186,9968;112,8571;88,82857;11,0009;7,62019;6,08028;55,9532;25,1025;25,5919;3,79114;3,2241;2,82742;54,6829;25,368;25,0941;3,18191;1,92656;2,38299;1
1;10µl-nr3;3-8;1282;1024;0,023316492;22;0,88892;0,35109;211,2919;164,0959;146,6301;37,1172;37,7395;38,4419;66,0234;22,9062;20,1373;11,4718;5,20295;4,25117;72,8291;21,436;18,6363;13,4999;7,5235;5,70832;0
1;10µl-nr3;3-9;1248;367;0,056184311;12;1,0259;0,22425;193,5208;149,8684;134,2632;40,1852;21,3771;16,9318;64,0331;16,9186;14,2355;9,11382;6,32578;5,9447;67,1634;19,8322;16,8996;9,73019;7,17232;6,58522;0
1;10µl-nr3;3-10;1324;378;0,01898563;19;0,97885;0,23902;186,4062;154,3472;145,4028;26,2178;17,8761;15,6445;64,6237;12,9972;9,48028;9,31197;4,06278;2,94923;67,4404;14,9807;10,938;7,44693;3,414;3,05585;0
1;10µl-nr3;3-11;1619;820;0;18;1,0307;0,33191;243,0436;209,1034;195,2069;30,5338;36,838;41,2484;85,4969;10,9547;12,6905;11,8668;6,70903;7,15868;86,422;10,8025;11,8307;12,6238;6,89472;7,72184;0
1;10µl-nr4;4-2;457;1462;0,086414039;15;0,99431;0,28296;176,1938;142,0238;124,2381;26,0753;12,1042;7,82993;59,7687;13,6621;13,9787;5,85807;4,22813;4,35428;63,132;15,732;16,5609;5,93186;4,97511;4,36968;0
1;10µl-nr4;4-3;752;1409;0,040012532;20;0,80931;0,667;183,0238;119,4323;104,7226;31,996;19,9753;15,3376;58,8152;18,9437;17,1868;4,1607;3,31887;3,52453;54,6405;17,2938;15,6864;9,26579;4,30437;4,72045;0
1;10µl-nr4;4-4;836;1278;0,095083617;8;0,94213;0,37304;240,5141;159,7419;133,4839;38,9835;32,6762;27,6669;80,2939;16,4302;18,889;11,5526;8,50131;7,98193;71,77;23,0228;24,1914;12,6599;5,82265;6,45189;0
1;10µl-nr4;4-7;1171;600;0,031646544;10;0,52202;0,75339;208,9387;196,1156;181,3121;44,8275;55,7857;57,4076;75,1846;8,26739;10,8525;21,7203;5,61239;5,48054;80,6257;7,51169;11,2282;19,3978;5,62001;5,66008;1
1;10µl-nr4;4-8;1108;1302;0,099356634;12;0,92676;0,57348;241,5744;191,3514;160,3514;8,93755;31,275;32,6098;79,2542;17,859;22,0614;10,7849;9,30823;6,80748;82,0972;17,3393;24,1695;8,68964;10,3643;6,88267;0
1;10µl-nr4;4-9;1323;1638;0;9;1,0501;0,19735;220,3137;184,3333;160,9524;32,4923;25,0227;17,8647;74,2763;14,7639;16,207;10,5641;4,49181;4,57966;79,0642;16,3403;19,3178;9,78319;3,42742;4,60847;0
1;10µl-nr4;4-10;1461;1109;0,13333601;18;0,67377;0,26774;150,9415;93,04505;85,63964;66,9921;55,3643;51,5431;47,6757;18,2617;14,0865;17,4996;7,76952;6,72147;42,09;13,6188;10,0606;23,2411;8,85253;7,9742;0
