lesson,name,page_name,video,slides,notebook
1,Fashion classification,01-fashion-classification.md,https://www.youtube.com/watch?v=it1Lu7NmMpw,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-8-neural-networks-and-deep-learning-250592316,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
2,TensorFlow and Keras,02-tensorflow-keras.md,https://www.youtube.com/watch?v=R6o_CUmoN9Q,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-8-neural-networks-and-deep-learning-250592316,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
3,Pre-trained convolutional neural networks,03-pretrained-models.md,https://www.youtube.com/watch?v=qGDXEz-cr6M,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-8-neural-networks-and-deep-learning-250592316,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
4,Convolutional neural networks,04-conv-neural-nets.md,https://www.youtube.com/watch?v=BN-fnYzbdc8,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-8-neural-networks-and-deep-learning-250592316,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
5,Transfer learning,05-transfer-learning.md,https://www.youtube.com/watch?v=WKHylqfNmq4,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-8-neural-networks-and-deep-learning-250592316,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
6,Adjusting the learning rate,06-learning-rate.md,https://www.youtube.com/watch?v=2gPmRRGz0Hc,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-8-neural-networks-and-deep-learning-250592316,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
7,Checkpointing,07-checkpointing.md,https://www.youtube.com/watch?v=NRpGUx0o3Ps,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-8-neural-networks-and-deep-learning-250592316,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
8,Adding more layers,08-more-layers.md,https://www.youtube.com/watch?v=bSRRrorvAZs,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-8-neural-networks-and-deep-learning-250592316,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
9,Regularization and dropout,09-dropout.md,https://www.youtube.com/watch?v=74YmhVM6FTM,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-8-neural-networks-and-deep-learning-250592316,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
10,Data augmentation,10-augmentation.md,https://www.youtube.com/watch?v=aoPfVsS3BDE,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-8-neural-networks-and-deep-learning-250592316,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
11,Training a larger model,11-large-model.md,https://www.youtube.com/watch?v=_QpDGJwFjYA,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-8-neural-networks-and-deep-learning-250592316,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
12,Using the model,12-using-model.md,https://www.youtube.com/watch?v=cM1WHKae1wo,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-8-neural-networks-and-deep-learning-250592316,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
13,Summary,13-summary.md,https://www.youtube.com/watch?v=mn0BcXJlRFM,,https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/course-zoomcamp/08-deep-learning/notebook.ipynb
14,Explore more,14-explore-more.md,,,
15,Homework,homework.md,,,
