lesson,name,page_name,video,slides,notebook
1,Overview,01-overview.md,https://www.youtube.com/watch?v=mvPER7YfTkw,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-10-kubernetes,
2,TensorFlow Serving,02-tensorflow-serving.md,https://www.youtube.com/watch?v=deXR2fThYDw,,
3,Creating a pre-processing service,03-preprocessing.md,https://www.youtube.com/watch?v=OIlrS14Zi0o,,code/tf-serving-connect.ipynb
4,Running everything locally with Docker-compose,04-docker-compose.md,https://www.youtube.com/watch?v=ZhQQfpWfkKY,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-10-kubernetes,
5,Introduction to Kubernetes,05-kubernetes-intro.md,https://www.youtube.com/watch?v=UjVkpszDzgk,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-10-kubernetes,
6,Deploying a simple service to Kubernetes,06-kubernetes-simple-service.md,https://www.youtube.com/watch?v=PPUCVRIV9t8,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-10-kubernetes,
7,Deploying TensorFlow models to Kubernetes,07-kubernetes-tf-serving.md,https://www.youtube.com/watch?v=6vHLMdnjO2w,,
8,Deploying to EKS,08-eks.md,https://www.youtube.com/watch?v=89jxeddZtC0,,
9,Summary,09-summary.md,https://www.youtube.com/watch?v=J5LMRTIu4jY,,
10,Explore more,10-explore-more.md,,,
11,Homework,homework.md,,,
