"Status","Seniority","Home","Time","Age","Marital","Records","Job","Expenses","Income","Assets","Debt","Amount","Price"
1,9,1,60,30,2,1,3,73,129,0,0,800,846
1,17,1,60,58,3,1,1,48,131,0,0,1000,1658
2,10,2,36,46,2,2,3,90,200,3000,0,2000,2985
1,0,1,60,24,1,1,1,63,182,2500,0,900,1325
1,0,1,36,26,1,1,1,46,107,0,0,310,910
1,1,2,60,36,2,1,1,75,214,3500,0,650,1645
1,29,2,60,44,2,1,1,75,125,10000,0,1600,1800
1,9,5,12,27,1,1,1,35,80,0,0,200,1093
1,0,2,60,32,2,1,3,90,107,15000,0,1200,1957
2,0,5,48,41,2,1,2,90,80,0,0,1200,1468
1,6,2,48,34,2,1,3,60,125,4000,0,1150,1577
1,7,2,36,29,2,1,1,60,121,3000,0,650,915
1,8,2,60,30,2,1,1,75,199,5000,2500,1500,1650
1,19,3,36,37,2,1,1,75,170,3500,260,600,940
2,0,6,18,21,1,2,2,35,50,0,0,400,500
1,0,2,24,68,2,1,1,75,131,4162,0,900,1186
1,15,3,24,52,1,1,3,35,330,16500,0,1500,2201
1,33,1,24,68,2,1,3,65,200,5000,2000,600,1350
2,0,4,48,36,2,1,2,45,130,750,0,1100,1511
1,1,5,60,31,1,1,1,35,137,0,0,1250,1253
2,2,1,60,25,1,1,1,46,107,0,0,1500,2189
1,5,2,60,22,1,1,1,45,324,10000,0,1100,1159
2,1,2,60,45,2,1,2,105,112,2000,500,600,1332
1,27,1,60,41,2,1,1,74,140,0,0,950,1497
1,26,2,60,51,2,1,1,45,143,3500,0,1350,1357
1,12,2,36,54,2,1,1,60,130,4000,0,700,2100
1,19,2,60,43,1,1,1,75,180,4000,0,1000,1070
1,15,2,36,43,2,1,1,75,251,4000,0,1800,2557
2,3,2,24,23,2,1,1,75,85,5000,0,600,1600
2,0,0,48,37,1,1,0,35,99999999,99999999,99999999,1500,1850
1,4,2,48,29,2,1,1,45,150,5000,3300,1100,1312
2,0,2,36,23,1,1,2,45,122,2500,0,400,400
1,14,3,24,51,2,1,2,75,198,1000,0,450,650
1,10,2,36,39,2,1,3,75,150,3000,0,1000,1394
1,12,5,36,35,1,1,1,35,170,0,0,1100,1542
1,32,2,24,62,2,1,3,45,119,8500,0,700,1200
1,10,2,24,56,2,1,3,45,208,13500,0,500,1560
1,7,2,48,32,2,1,1,75,115,3000,0,800,1200
2,1,1,54,36,2,1,1,70,99,0,0,950,950
1,30,2,60,64,2,1,1,45,120,14000,0,1125,1300
2,5,1,48,31,1,1,1,44,90,0,0,1300,1700
1,24,2,60,42,2,1,1,75,137,4000,0,900,1167
1,0,2,60,61,3,1,4,35,230,50000,0,950,1150
2,0,2,60,32,2,2,1,45,142,7000,3000,1250,1566
2,2,2,60,43,2,1,2,75,71,3000,0,1500,1552
1,1,5,60,26,1,1,2,35,120,0,0,1150,1300
1,1,2,60,49,3,1,3,35,233,15900,4500,2100,2104
1,15,2,36,47,2,1,1,75,289,3500,0,1500,2154
2,2,1,36,27,4,1,1,48,128,0,0,450,545
1,25,2,36,52,2,1,3,60,150,15000,0,750,1778
1,8,2,60,28,2,1,1,60,145,4000,1000,1600,1718
1,5,2,60,31,2,1,1,75,90,4000,0,900,1500
1,0,1,60,32,2,1,1,105,301,0,0,1200,1274
1,5,2,36,51,2,1,3,75,200,2100,1200,900,1015
1,3,5,12,37,2,1,3,60,150,500,0,500,1701
2,1,1,48,29,2,2,3,85,100,0,0,1000,1345
1,7,5,60,26,1,1,1,35,100,0,0,1000,1238
1,4,5,30,27,1,1,1,45,100,5000,0,500,1048
1,6,2,24,63,2,1,1,60,155,4000,0,600,1048
1,14,2,24,55,2,1,1,90,715,5000,0,800,1324
1,3,1,60,28,2,1,1,70,245,0,0,1830,2201
1,8,1,48,31,2,1,1,90,150,0,0,1100,1430
2,4,5,42,27,1,1,1,35,70,0,0,600,926
1,22,2,24,40,2,1,1,75,190,3000,0,1000,1500
1,2,2,36,35,2,1,1,75,152,3000,0,1000,1542
1,15,3,60,43,2,1,1,75,126,3000,0,1350,1360
1,10,2,18,34,2,1,3,75,181,4000,0,600,1000
1,4,2,60,37,2,1,1,60,185,3000,0,1200,1564
1,9,2,60,53,2,1,1,45,170,2500,0,850,1205
1,22,1,60,46,2,1,1,93,176,7500,0,2000,2200
1,18,5,36,36,2,1,3,60,238,0,0,900,2214
1,1,3,60,46,2,1,1,60,115,5500,800,1000,1137
1,14,2,48,43,2,1,1,45,200,9000,0,600,1025
1,8,2,36,31,2,2,3,75,411,9000,4000,800,1593
1,5,2,24,43,2,1,1,75,93,3000,0,700,1735
1,19,1,60,38,2,1,1,86,108,0,0,1000,1132
1,14,2,12,37,2,1,3,90,500,4000,0,500,1338
1,0,6,36,46,2,2,4,45,45,0,0,900,1100
1,9,1,36,55,2,1,1,70,250,30000,0,1750,2276
1,29,2,48,56,2,1,1,45,100,3000,0,900,1360
1,10,2,36,55,2,1,1,60,70,4000,0,1000,1436
1,10,5,36,52,2,1,1,60,150,0,0,550,612
2,1,2,36,29,2,1,1,60,70,4500,0,850,1100
1,11,2,60,39,5,2,1,35,263,2500,0,1000,1300
1,10,2,60,38,2,1,3,75,200,9000,0,1000,2089
1,5,2,24,24,1,1,1,35,78,6000,3000,500,2262
1,10,1,60,28,1,1,1,47,120,0,0,600,1054
1,27,2,60,53,2,1,1,60,125,10000,0,1426,1426
2,0,1,60,25,1,1,2,40,50,0,0,1040,1048
2,25,1,60,62,2,1,1,60,146,0,0,1000,1292
1,3,5,60,29,1,1,1,35,70,0,0,950,1177
2,9,5,60,32,1,2,1,35,105,0,0,1490,1490
1,4,1,36,21,2,1,3,101,413,6000,0,750,850
1,6,1,36,38,2,1,3,95,500,25000,21400,800,1011
1,9,1,48,56,2,1,3,140,350,0,0,1400,1571
1,3,2,36,41,2,1,3,75,200,3000,0,1000,1000
2,22,6,36,46,2,1,1,45,138,0,0,250,270
1,3,2,60,54,3,1,4,35,80,4000,0,950,1382
1,30,2,36,51,2,1,3,120,208,15000,0,1500,1713
1,8,1,60,52,2,1,1,89,137,4000,0,800,1086
1,38,2,48,57,2,1,3,45,58,12000,0,1500,3262
1,2,1,60,33,2,1,1,73,130,0,0,1100,1610
1,4,2,60,33,2,1,1,75,123,6000,1000,600,1030
2,0,1,36,29,2,1,2,78,180,0,0,650,650
2,2,6,48,23,1,1,1,35,140,0,0,1950,2175
1,8,2,24,33,2,1,1,75,315,4500,0,400,1780
2,1,1,36,24,2,1,2,76,164,0,0,900,950
2,6,5,60,28,2,1,3,90,325,7000,0,1200,1211
1,5,2,60,27,2,1,1,45,135,5000,1400,1600,1650
2,13,5,36,33,1,1,1,35,109,0,0,350,350
1,11,1,60,32,2,1,1,79,185,0,0,950,1117
1,10,2,24,39,2,1,1,45,217,9000,3000,1500,2468
2,20,2,60,51,2,1,3,90,300,12500,2500,1340,1740
2,0,2,36,39,1,1,3,35,0,4000,0,1000,1210
1,13,2,48,29,2,1,1,60,253,3000,0,670,963
2,2,2,36,32,2,1,1,75,101,1500,400,1200,1646
2,3,2,36,40,2,2,3,35,200,10000,0,800,800
1,12,2,36,47,2,1,1,75,124,3500,0,460,470
1,20,2,24,66,2,1,1,45,143,10000,0,950,1370
1,3,3,48,39,4,1,3,35,250,4000,1500,700,839
1,27,2,60,50,2,1,1,75,135,5500,1000,600,1346
1,4,1,60,25,2,1,1,57,115,0,0,900,1350
2,1,2,60,27,2,1,2,75,160,4000,3000,1800,2100
1,18,1,60,54,2,1,1,66,214,0,0,1300,1307
1,12,1,60,42,2,1,1,114,390,0,0,1100,1126
1,12,2,48,35,4,1,3,45,500,200000,0,2380,4786
2,0,5,60,23,1,1,2,35,95,0,0,1400,1478
1,12,2,60,52,2,1,1,75,200,12000,0,1550,1568
1,0,5,24,22,1,1,2,35,85,0,0,650,1056
1,10,6,18,48,2,1,1,90,214,0,0,1000,1608
1,2,2,60,25,2,1,1,75,140,3000,0,950,1179
2,10,6,60,26,2,1,1,45,60,0,0,1400,1524
1,8,2,60,28,2,1,1,75,180,4000,0,1300,1730
1,20,2,30,62,2,1,3,60,300,24000,9000,600,823
1,0,1,60,33,2,1,3,65,200,0,0,700,800
1,16,5,60,41,2,1,1,75,242,0,0,1300,1482
1,4,2,60,29,2,1,2,60,155,5000,2500,900,1110
2,1,1,60,37,1,1,1,45,100,0,0,1150,1555
1,0,2,60,31,2,1,1,60,105,3500,0,1100,1170
1,15,2,12,50,2,1,3,45,166,2000,0,500,886
2,13,1,60,42,4,2,1,47,120,0,0,800,1395
1,19,2,36,33,2,1,1,60,115,6700,2000,1000,2084
1,15,2,24,54,2,1,3,90,350,150000,0,3800,8800
1,40,2,36,58,2,1,3,75,0,50000,0,1000,1160
1,9,1,60,40,2,1,1,119,442,6000,1947,900,1211
2,12,5,60,31,4,2,1,35,101,0,0,1300,1300
2,0,2,36,35,2,2,1,105,122,5200,2000,850,850
1,14,2,60,64,2,1,3,60,250,10000,0,700,1204
1,10,5,24,29,1,1,3,35,90,0,0,600,1528
1,2,2,48,33,2,1,1,45,160,6000,0,1200,1298
1,15,2,18,35,2,1,3,60,300,4000,0,300,600
2,1,5,48,28,1,1,1,35,83,0,0,1000,1320
1,27,2,60,59,2,1,3,45,0,11000,0,1100,1300
2,0,6,60,25,2,1,2,60,60,0,0,1300,1380
2,0,5,60,23,1,1,2,35,205,0,0,1400,1426
1,3,2,24,30,2,1,3,75,133,12000,900,1500,5200
1,8,1,36,36,2,1,1,78,179,0,0,900,1503
1,3,2,48,25,1,1,3,35,0,4000,0,1200,1449
1,5,6,60,22,1,1,1,45,195,0,0,700,1422
1,9,2,24,45,2,1,1,75,112,4000,0,500,1430
1,4,2,30,47,2,1,3,90,210,15000,0,1550,1578
1,14,3,48,36,2,1,1,75,155,3500,200,1100,1250
1,3,2,36,36,1,2,3,35,394,16000,0,1500,2260
1,22,1,36,60,2,1,1,60,149,0,0,200,280
1,20,1,48,59,2,1,1,57,120,0,0,800,1298
2,6,2,48,58,2,2,3,60,400,86000,0,930,945
1,23,2,12,37,2,1,1,45,165,5000,0,900,1694
2,5,2,36,32,2,1,3,75,125,6000,0,600,700
1,8,1,48,26,1,1,1,42,74,0,0,600,1290
1,5,2,60,40,2,1,1,75,86,4900,0,1300,1581
1,20,2,48,55,2,1,1,45,185,5000,0,1000,1383
1,11,1,60,30,2,1,1,77,165,0,0,1350,1637
1,25,5,54,43,2,1,1,75,110,7000,0,1275,1275
2,2,1,60,28,2,1,1,74,138,0,0,1400,1400
1,20,2,24,47,2,1,3,75,300,5000,0,600,832
1,9,2,36,29,1,1,1,35,147,3500,0,1886,2886
2,0,1,60,48,4,2,3,35,0,25300,15500,1200,1257
1,18,5,60,34,2,1,1,60,112,6550,0,600,1346
1,20,2,60,53,2,2,3,75,350,6500,0,800,1138
1,6,2,12,44,2,1,1,45,110,15000,0,300,1801
2,0,2,48,49,2,1,2,45,75,2000,0,900,1200
1,0,1,36,51,2,1,1,113,230,0,0,950,950
1,14,4,60,34,2,1,1,75,85,8000,0,1400,1589
1,10,2,48,42,2,1,3,75,210,4000,120,1200,1617
1,19,2,60,34,2,1,1,75,125,5000,0,1200,1200
1,11,2,60,46,2,1,1,75,149,3500,0,1400,2194
1,1,2,48,31,2,1,1,75,201,2500,96,1100,1642
2,13,6,60,31,2,1,1,60,105,0,0,1200,1423
1,4,1,12,33,2,1,1,78,183,0,0,600,1600
2,9,1,24,30,1,2,1,46,113,0,0,700,700
1,1,2,24,27,2,1,1,45,126,3000,3700,200,300
1,4,2,36,48,2,1,3,120,300,5000,0,1000,1165
1,2,2,60,33,2,1,1,75,160,6000,0,1000,1365
1,2,2,12,44,2,1,1,90,160,7500,0,500,1706
2,0,6,36,48,2,2,3,45,0,0,0,1600,2053
1,21,2,60,57,2,1,3,60,95,8000,0,1000,1700
1,12,2,60,34,2,2,1,75,125,5500,4000,950,1462
1,9,1,60,38,2,1,1,87,120,0,0,1177,1300
1,2,1,36,35,2,1,1,126,359,0,0,870,1122
1,24,2,60,52,2,1,1,45,80,4000,0,1200,1257
1,1,5,60,28,1,1,2,35,67,0,0,1050,1387
1,15,2,48,46,2,1,1,90,148,12000,0,1000,1266
1,19,2,60,56,2,2,1,45,298,8000,0,1700,2195
1,10,2,24,52,2,1,1,75,318,4500,700,700,2004
1,19,2,60,35,2,1,1,75,185,4000,0,1100,1203
1,10,2,36,45,2,2,3,60,0,9500,250,750,1138
1,4,5,48,29,2,1,1,45,194,0,0,1200,1374
2,1,5,60,22,1,1,1,35,80,3000,0,1500,1514
1,2,2,24,33,2,2,1,75,147,2000,900,400,750
1,5,2,24,41,2,1,3,105,156,10000,0,800,1894
1,11,2,36,37,2,1,1,75,178,3000,0,1000,1048
1,23,2,24,46,2,1,1,75,130,4000,0,400,1369
2,4,6,36,19,1,1,2,35,63,0,0,1000,1035
2,5,5,36,22,1,1,1,35,88,0,0,750,1218
1,15,5,60,31,2,1,1,45,140,0,0,1200,1637
2,1,3,60,44,2,1,2,45,115,2000,0,750,953
1,9,2,60,48,2,2,1,60,83,2500,0,1100,1212
1,4,3,36,31,2,1,1,60,144,3000,0,1000,1218
1,20,2,24,53,2,1,3,45,200,100000,0,1000,1419
1,10,6,60,36,2,1,1,90,172,3000,0,1100,1100
1,2,3,60,46,2,1,3,105,200,4000,500,900,987
1,15,2,60,37,2,1,1,60,318,7000,0,1900,2400
1,8,2,60,34,2,1,1,60,177,6300,4000,1370,1375
1,4,2,48,36,2,1,1,60,133,4000,0,1000,1595
1,4,2,60,64,1,1,4,35,150,9000,0,984,1054
1,1,2,36,27,1,1,1,35,208,9000,0,1000,1651
1,10,2,30,26,2,1,1,75,145,1434,0,300,1542
1,32,2,60,53,2,1,1,60,157,5000,0,2000,2014
1,12,2,60,50,2,1,1,45,190,9500,200,1800,2624
2,0,5,60,21,1,1,2,35,86,0,0,1000,1135
1,20,5,24,40,1,1,1,35,90,0,0,600,1105
1,6,1,60,49,2,2,2,100,100,30000,0,1500,1500
2,4,1,24,40,2,2,1,56,214,0,0,800,1200
1,1,1,60,37,1,1,1,45,100,0,0,1150,1555
1,2,1,48,25,2,1,1,57,117,0,0,800,2251
1,25,2,18,40,2,1,1,45,110,4000,0,455,1542
1,1,1,36,22,2,1,1,62,168,0,0,1200,2186
1,10,2,48,49,2,1,3,45,150,9000,0,1700,1700
1,2,2,60,34,2,1,1,45,166,7000,0,600,1180
