lesson,name,page_name,video,slides,notebook
1,Introduction to Serverless,01-intro.md,https://www.youtube.com/watch?v=JLIVwIsU6RA,,
2,AWS Lambda,02-aws-lambda.md,https://www.youtube.com/watch?v=_UX8-2WhHZo,,
3,TensorFlow Lite,03-tensorflow-lite.md,https://www.youtube.com/watch?v=OzZA4mSBE0Q,,code/tensorflow-model.ipynb
4,Preparing the code for Lambda,04-preparing-code.md,https://www.youtube.com/watch?v=XXBUivsHhec,,
5,Preparing a Docker image,05-docker-image.md,https://www.youtube.com/watch?v=y4_YQjfOsDo,,
6,Creating the lambda function,06-creating-lambda.md,https://www.youtube.com/watch?v=kBch5oD5BkY,,
7,API Gateway: exposing the lambda function,07-api-gateway.md,https://www.youtube.com/watch?v=wyZ9aqQOXvs,,
8,Summary,08-summary.md,https://www.youtube.com/watch?v=bu3nPiHCNLU,,
9,Explore more,09-explore-more.md,,,
10,Homework,homework.md,,,
