lead_source,industry,employment_status,location,annual_income,number_of_courses_viewed,interaction_count,lead_score,converted
organic_search,technology,employed,europe,88160,3,4,0.64,1
social_media,technology,employed,south_america,72688,3,7,0.72,1
referral,retail,employed,europe,44697,3,4,0.58,1
paid_ads,manufacturing,student,,,3,6,0.57,0
referral,manufacturing,student,north_america,24062,4,5,0.62,1
referral,manufacturing,employed,africa,43841,3,5,0.77,1
,education,employed,north_america,58738,3,9,0.78,1
paid_ads,technology,employed,north_america,95059,2,4,0.41,1
organic_search,healthcare,employed,asia,62565,3,6,0.52,1
referral,retail,student,asia,12000,2,2,0.35,0
referral,retail,,europe,43935,2,9,0.78,1
paid_ads,technology,employed,asia,80773,3,7,0.72,1
social_media,,employed,africa,47115,1,0,0.11,0
paid_ads,retail,employed,north_america,62439,1,2,0.33,0
paid_ads,retail,student,asia,12000,0,1,0.13,0
organic_search,retail,employed,north_america,59239,3,9,0.85,1
organic_search,education,employed,asia,37431,3,5,0.55,0
organic_search,finance,employed,north_america,83331,3,5,0.56,1
referral,manufacturing,employed,africa,49038,2,3,0.5,1
social_media,finance,unemployed,asia,50544,2,2,0.4,1
social_media,education,employed,africa,31638,2,4,0.47,1
social_media,healthcare,employed,south_america,65430,3,5,0.73,1
social_media,healthcare,employed,asia,57952,2,5,0.56,1
referral,healthcare,student,europe,,3,10,0.76,1
organic_search,technology,employed,asia,65713,4,7,0.74,1
referral,retail,student,asia,,2,5,0.53,1
organic_search,retail,employed,africa,42510,4,5,0.6,1
paid_ads,education,employed,south_america,45257,1,2,0.32,0
paid_ads,,self_employed,europe,82749,1,1,0.34,0
referral,manufacturing,employed,asia,45317,2,8,0.83,1
social_media,,student,south_america,51061,1,2,0.37,1
events,education,employed,africa,13171,3,5,0.5,0
social_media,retail,self_employed,africa,33862,3,5,0.5,1
paid_ads,healthcare,employed,europe,68156,1,5,0.48,0
paid_ads,retail,unemployed,asia,26032,2,4,0.4,0
organic_search,healthcare,employed,north_america,65643,2,6,0.62,0
social_media,education,self_employed,south_america,39539,3,4,0.37,0
organic_search,healthcare,employed,europe,47583,2,5,0.6,1
paid_ads,technology,employed,north_america,92267,3,3,0.42,0
referral,education,self_employed,north_america,61949,1,2,0.38,0
paid_ads,technology,unemployed,north_america,39207,1,4,0.3,0
paid_ads,education,student,europe,12000,1,0,0.11,0
paid_ads,technology,employed,europe,73254,2,4,0.48,0
social_media,finance,self_employed,south_america,56082,3,5,0.49,0
social_media,manufacturing,student,asia,14763,2,5,0.42,0
social_media,education,employed,north_america,53769,3,6,0.55,0
events,education,employed,africa,40215,3,6,0.54,1
organic_search,finance,self_employed,north_america,67761,4,8,0.83,0
social_media,education,student,south_america,12000,1,0,0.16,1
social_media,finance,employed,europe,69440,2,6,0.55,1
organic_search,education,employed,south_america,35181,3,8,0.76,1
social_media,retail,unemployed,asia,24782,1,4,0.42,0
events,finance,self_employed,europe,75980,3,10,0.84,1
social_media,technology,unemployed,north_america,59104,0,3,0.34,1
organic_search,technology,student,south_america,36980,4,7,0.72,1
organic_search,healthcare,employed,north_america,67391,3,4,0.63,1
paid_ads,healthcare,unemployed,north_america,30925,2,3,0.28,0
social_media,healthcare,employed,north_america,69200,2,4,0.46,1
social_media,manufacturing,employed,africa,50582,2,3,0.41,1
events,retail,employed,north_america,57378,2,2,0.3,0
organic_search,healthcare,self_employed,south_america,52321,3,7,0.67,1
referral,healthcare,unemployed,asia,32909,2,4,0.44,0
organic_search,retail,employed,europe,48800,2,5,0.51,0
referral,retail,employed,north_america,61508,3,6,0.71,1
paid_ads,technology,employed,south_america,78409,1,3,0.4,0
social_media,retail,employed,asia,59455,2,1,0.34,1
referral,healthcare,student,north_america,40555,2,4,0.47,0
organic_search,healthcare,employed,north_america,60187,5,8,0.81,1
organic_search,retail,employed,asia,45260,3,4,0.56,0
social_media,finance,employed,asia,62838,2,4,0.53,1
paid_ads,retail,self_employed,north_america,52734,3,7,0.66,1
paid_ads,manufacturing,employed,europe,49431,2,4,0.41,0
paid_ads,technology,employed,,85628,3,4,0.55,1
social_media,,unemployed,europe,18517,1,3,0.39,0
social_media,finance,student,north_america,56281,3,6,0.63,1
social_media,education,employed,europe,42788,4,7,0.75,1
events,manufacturing,self_employed,north_america,48635,1,5,0.44,0
,education,student,north_america,,2,2,0.22,1
social_media,retail,employed,asia,27411,0,0,0.01,0
events,healthcare,employed,north_america,71331,2,3,0.39,1
organic_search,technology,self_employed,europe,82020,2,4,0.51,1
paid_ads,finance,student,europe,47798,1,2,0.21,0
referral,education,student,europe,25275,0,3,0.31,0
paid_ads,technology,employed,africa,56758,2,5,0.53,1
paid_ads,education,employed,africa,33395,1,4,0.3,0
organic_search,manufacturing,employed,north_america,59268,2,4,0.44,1
paid_ads,finance,self_employed,asia,82824,1,3,0.42,0
,retail,employed,europe,50141,3,4,0.45,1
organic_search,education,self_employed,europe,44678,3,5,0.51,1
social_media,finance,employed,south_america,74074,0,1,0.23,0
organic_search,technology,unemployed,europe,53767,3,5,0.46,0
referral,education,self_employed,europe,43499,1,8,0.63,1
organic_search,finance,employed,south_america,59780,2,4,0.43,0
paid_ads,technology,unemployed,europe,51151,1,5,0.49,0
referral,education,student,africa,,3,3,0.37,0
paid_ads,retail,unemployed,asia,21084,4,9,0.68,1
referral,finance,employed,asia,75202,2,5,0.59,1
events,technology,unemployed,europe,50096,1,0,0.18,0
organic_search,technology,employed,europe,95649,1,1,0.37,1
events,retail,self_employed,africa,34621,2,4,0.5,1
events,retail,employed,europe,62105,0,1,0.17,0
social_media,manufacturing,self_employed,europe,42074,1,3,0.35,0
referral,education,unemployed,north_america,,2,4,0.47,1
events,technology,employed,europe,70802,1,2,0.3,1
paid_ads,finance,self_employed,africa,55606,2,4,0.51,0
