lesson,name,page_name,video,slides,notebook
1,Car price prediction project,01-car-price-intro.md,https://www.youtube.com/watch?v=vM3SqPNlStE,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-21-car-price-prediction-project,
2,Data preparation,02-data-preparation.md,https://www.youtube.com/watch?v=Kd74oR4QWGM,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
3,Exploratory data analysis,03-eda.md,https://www.youtube.com/watch?v=k6k8sQ0GhPM,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
4,Setting up the validation framework,04-validation-framework.md,https://www.youtube.com/watch?v=ck0IfiPaQi0,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
5,Linear regression,05-linear-regression-simple.md,https://www.youtube.com/watch?v=Dn1eTQLsOdA,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
6,Linear regression: vector form,06-linear-regression-vector.md,https://www.youtube.com/watch?v=YkyevnYyAww,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
7,Training linear regression: Normal equation,07-linear-regression-training.md,https://www.youtube.com/watch?v=hx6nak-Y11g,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
8,Baseline model for car price prediction project,08-baseline-model.md,https://www.youtube.com/watch?v=SvPpMMYtYbU,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
9,Root mean squared error,09-rmse.md,https://www.youtube.com/watch?v=0LWoFtbzNUM,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
10,Computing RMSE on validation data,10-car-price-validation.md,https://www.youtube.com/watch?v=rawGPXg2ofE,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
11,Feature engineering,11-feature-engineering.md,https://www.youtube.com/watch?v=-aEShw4ftB0,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
12,Categorical variables,12-categorical-variables.md,https://www.youtube.com/watch?v=sGLAToAAMa4,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
13,Regularization,13-regularization.md,https://www.youtube.com/watch?v=91ve3EJlHBc,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
14,Tuning the model,14-tuning-model.md,https://www.youtube.com/watch?v=lW-YVxPgzQw,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
15,Using the model,15-using-model.md,https://www.youtube.com/watch?v=KT--uIJozes,https://www.slideshare.net/AlexeyGrigorev/ml-zoomcamp-2-slides,notebook.ipynb
16,Car price prediction project summary,16-summary.md,https://www.youtube.com/watch?v=_qI01YXbyro,
17,Explore more,17-explore-more.md,,
18,Homework,homework.md,,
